token_address,symbol,spike_time,increase,price_open,price_high,price_low,price_close,volume,liquidity,supply,marketcap,circulating_supply,circulating_marketcap
12HXYh3MHmyuraHtd82fGEKSwuhdsbPo1utXQKvXpump,REPUBLICAN,2024-10-29 10:43:00,7.554329331394753,0.0004783460225652717,0.00048413174974374365,0.0003442440385394171,0.0004674572028687477,99291998.874027,11679.942756144961,948805415.965625,8292.75361397422,948805415.965625,8292.75361397422
136em8joZqS2CWgCiHNUuK3cJf2fbWBrAV2jXtBsS3zg,TRUMP,2024-10-29 05:05:00,5.370170101773529,0.00488741322437037,0.0075866740723988324,0.00488741322437037,0.006532806436156222,3811011.968583002,11915.163593349449,99991822.26385082,6264.359772353265,99991822.26385082,6264.359772353265
265sKc6C7wRcEkuLqzPCWUziHCqsp2Q1gXJo2H9Bpump,HONEY,2024-10-03 19:37:00,7.530397356076676,7.23632284987978e-05,0.00014591650559195787,5.2106905458699086e-05,6.134618662636493e-05,1137634037.689638,17478.858863184654,998222432.43588,16518.551638937864,998222432.43588,16518.551638937864
27EnpSWPXANqnYQqTD9Pe1QPJgQzgawNzj7DATcipump,AURA,2024-10-29 16:01:00,5.2677409902956365,6.226232308186476e-05,8.812124259760935e-05,3.935274984075243e-05,4.4125536341347794e-05,575935252.3521527,10086.409375860214,998569513.855365,7841.162228278321,998569513.855365,7841.162228278321
28WdSGcReQCRW7WBWKsfo2AdVE5TTTyg6Z5Mi8jBFXmN,AURA,2024-10-29 17:00:00,8.780678353237967,2.5201497969712437e-05,5.097803595269701e-05,2.0772049378760785e-05,4.484618726773241e-05,1340474809.6705143,2059.68860005262,999423689.7189635,1717.072425151417,999423689.7189635,1717.072425151417
2E3qS1oSVbeLxQEhdSrVDMn5ruhCg5JQCqPXKpwWpump,$FUTURE,2024-10-25 08:01:00,9.122735316844675,0.0002426884558062342,0.0003989173660821764,0.0002426884558062342,0.00038921035223758916,39664953.87772102,36680.044020768204,999919704.029969,85039.0265860873,999919704.029969,85039.0265860873
2GMEDWxPhdBicySMjUky49UHgXutxQ8SJjWyrcKPpump,PONK,2024-10-02 18:34:00,41.66877733522322,0.0023724655448221373,0.004104367814164659,0.0019296024821318476,0.003085978090093561,1464651740.189077,73566.14780085703,999919541.296567,131991.27191666898,999919541.296567,131991.27191666898
2KgAN8nLAU74wjiyKi85m4ZT6Z9MtqrUTGfse8Xapump,SHEGEN,2024-10-14 08:22:00,9.603513577856392,0.0006541196836455464,0.001397662996787732,0.0006541196836455464,0.0007500330446913803,867190966.4836063,622965.6153936851,999961282.585417,2729494.523605129,999961282.585417,2729494.523605129
2TobzM4NNpEvyVAEpFC8AkxJGBHz8fFgMksK1gBy5dub,Wiz,2024-10-26 22:35:00,7.968008300457602,0.0005621835312062266,0.0009258752927618708,0.0004705007737354498,0.0005510957338712652,665826456.2818867,33168.913756690614,999670561.675223,29625.165383533098,999670561.675223,29625.165383533098
2aVCSF8R74m5Nh18nXUSx1YDNS3Zxj2kQCa3mrdgpump,mofa,2024-10-29 06:10:00,9.602809480217566,0.00017678686923133335,0.0003526290551700689,0.00010333006795482616,0.0001604494752788873,1969098414.6567116,17027.203802278913,999156330.032847,15746.637415425344,999156330.032847,15746.637415425344
