spike_time,start_price,max_price,increase,duration_minutes,token_address,symbol,collection_time
2024-10-28T17:19:00,0.0001226948984527393,0.006554176463382365,53.41849209734633,59.0,CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,LUCE,2024-10-30T12:20:53.299323
2024-10-28T17:19:00,0.0001373333566657735,0.006554176463382365,47.72457779018089,58.0,CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,LUCE,2024-10-30T12:20:53.299323
2024-10-28T17:22:00,0.00012798984316986735,0.00714561604098007,55.82955540852137,60.0,CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,LUCE,2024-10-30T12:20:53.299323
2024-10-28T17:23:00,0.0002031283874095615,0.00783727602905431,38.58286933205575,60.0,CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,LUCE,2024-10-30T12:20:53.299323
2024-10-28T17:23:00,0.0005647292479377591,0.00783727602905431,13.877935413605645,59.0,CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,LUCE,2024-10-30T12:20:53.299323
2024-10-28T17:23:00,0.000801371487878024,0.00783727602905431,9.779828890352553,58.0,CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,LUCE,2024-10-30T12:20:53.299323
2024-10-28T17:23:00,0.0009385703741624164,0.00783727602905431,8.350227372186474,57.0,CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,LUCE,2024-10-30T12:20:53.299323
2024-10-28T17:23:00,0.0008977390437355761,0.00783727602905431,8.730015792164583,56.0,CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,LUCE,2024-10-30T12:20:53.299323
2024-10-28T17:23:00,0.0010653839837470752,0.00783727602905431,7.356292330854956,55.0,CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,LUCE,2024-10-30T12:20:53.299323
2024-10-28T17:23:00,0.000953256081111211,0.00783727602905431,8.221585137876481,54.0,CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,LUCE,2024-10-30T12:20:53.299323
