timestamp,token,entry_price,confidence_score,momentum_5m,momentum_7m,trend_acceleration,price_change_15m,exit_5m,exit_15m,exit_30m,exit_45m,exit_60m,return_5m,return_15m,return_30m,return_45m,return_60m
2024-12-29T14:49:47.210402,DSL,2.529383344416208e-05,1.0,0.32611501936302556,0.38535129902142895,0.02243638626568896,2.9923304915637243,2.4764811354736914e-05,-2.091506179136582,2.98499728741195e-05,18.01284664902778,1.7510728066285703e-05,-30.77076234829382,2.6698370739464794e-05,5.552884256960611,1.8779222747574665e-05,-25.755727027177898
2024-12-29T14:50:35.116729,CURA,4.3247565295282814e-05,1.0,1.194150306426648,1.588408234082721,0.05620249032003555,4.759993525293438,3.34141452072929e-05,-22.73751139711554,9.441859908143528e-06,-78.16788102711209,6.359587429240613e-06,-85.29492380479905,6.2172960757908594e-06,-85.62393967535323,5.8417751885886565e-06,-86.49224494210812
2024-12-29T14:54:32.512648,HOLE,1.5961010001720503e-05,1.0,0.25752269369979297,0.749847007435507,0.047481787872677664,1.8745964206105308,1.6951404941903435e-05,6.205089402714337,3.4455228217931316e-05,115.87122753646071,5.042508411122706e-05,215.92664941499024,5.2325875190600504e-05,227.83561431864325,1.7594443445779555e-05,10.233897753857546
2024-12-29T14:56:57.312455,ben,2.5046386110311225e-05,1.0,0.35043194481295203,0.4389432359589551,0.020648103068149487,2.542038900971014,2.0343216003025414e-05,-18.777839192335954,1.6547122694435554e-05,-33.93409084425417,2.6801786929997226e-05,7.0085992124960805,3.0038978591685956e-05,19.933384638350503,1.9451540789349744e-05,-22.337934488114296
2024-12-29T14:57:57.529659,suza,1.66582569610103e-05,1.0,0.7491693631760457,0.7870986766368453,0.023566248019546626,1.8306231979395813,1.7872305087491604e-05,7.287966137891022,1.7338326054181253e-05,4.082474503561184,8.319598032669023e-06,-50.05721155495701,6.4237013744257434e-06,-61.43833421791475,5.975467359801584e-06,-64.12909601654277
2024-12-29T14:59:52.198387,miso,1.3521497924898575e-05,1.0,1.3941220781019323,1.3941220781019323,0.07677455175976977,1.1132584809239532,8.39903193333254e-06,-37.883864790849046,7.572190803740523e-06,-43.99887611714202,6.390205072484515e-06,-52.740405626823716,5.9756497783738e-06,-55.80630332849292,6.163011820427341e-06,-54.42064292981379
2024-12-29T15:05:23.479484,Ash,1.5076700410310008e-05,1.0,0.30206571896256507,0.8916821568654518,0.030426080601552954,1.5571496456633165,1.1731412219590988e-05,-22.188463653700964,1.0780909387075576e-05,-28.49291228402211,8.605679724213611e-06,-42.92066904553779,8.002861584313459e-06,-46.91901167684671,8.278199051510376e-06,-45.09276681090356
2024-12-29T15:06:44.949488,shimmer,2.4662756215188175e-05,1.0,0.6932049676501149,0.9614205813433334,0.030435931685899975,1.1701079672736379,3.2331915254992176e-05,31.09611502010903,2.575324675919089e-05,4.421608576462166,4.7473974606291156e-05,92.4925754123744,9.181985167964849e-05,272.3016636036108,2.6096361939102816e-05,5.812836616500228
2024-12-29T15:08:12.481839,RUNNER,1.2833470085209066e-05,1.0,0.6726047743778276,0.6726047743778276,0.03106300784955461,1.005913827592574,1.552135595727806e-05,20.944342054195133,1.4881589627159059e-05,15.959202993043231,1.361305475677713e-05,6.074621021375637,1.7208189403506996e-05,34.0883587155427,3.7332382030731656e-05,190.8985783491113
2024-12-29T15:14:39.177718,zaza,1.3613081851436844e-05,1.0,1.541006179078245,1.541006179078245,0.19262577238478062,1.541006179078245,7.198954990304068e-06,-47.11737526543831,6.187943598561979e-06,-54.54413874762055,5.494851310057603e-06,-59.63550818231782,5.494851310057603e-06,-59.63550818231782,5.494851310057603e-06,-59.63550818231782
