,price_mean,price_std,price_min,price_max,price_last,price_change_1m,volatility_1m,price_change_3m,volatility_3m,price_change_5m,volatility_5m,price_change_10m,volatility_10m,price_change_15m,volatility_15m,price_trend_slope,price_trend_r2,price_acceleration,volume_total,volume_mean,volume_std,volume_1m,trades_count_1m,buy_sell_ratio_1m,volume_3m,trades_count_3m,buy_sell_ratio_3m,volume_5m,trades_count_5m,buy_sell_ratio_5m,volume_10m,trades_count_10m,buy_sell_ratio_10m,volume_15m,trades_count_15m,buy_sell_ratio_15m,volume_trend_slope,volume_trend_r2,liquidity,holder_count,market_count,unique_wallets_24h,trades_24h,data_points_count,trades_count
count,467.0,467.0,467.0,467.0,467.0,467.0,0.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0
mean,0.03797419474432903,0.011956227436125146,0.030961711935308448,0.07573143574492162,0.07573143574492162,0.0,,219.77556931050728,0.4208541282311106,106.5323884511885,0.570067927496416,51.89245326296844,0.8042376312338295,45.120665409300386,0.9528580112948648,0.0012918097745401435,0.49334867769739066,767.6158585213527,20822540.87520951,2082254.0875209507,2832534.451450781,3401692.882792593,1.0,inf,10088389.791538937,3.0,7.616622557447978,11833371.214795722,5.0,0.49707654510524346,20822540.87520951,10.0,0.8515716112047818,20822540.87520951,10.0,0.8515716112047818,235574.8304732061,0.2151041327865905,21720.162822565686,788.1691648822269,1.310492505353319,26.092077087794433,53.05353319057816,15.995717344753748,10.0
std,0.08578684072273851,0.021751533436995794,0.07465593529029388,0.12475548832201568,0.12475548832201568,0.0,,522.4223634995888,0.585518850022422,218.64511100344814,0.7696027180681732,90.33919108483192,1.0905333392881056,80.03575427409527,1.3120741143052894,0.0022943505657709628,0.28252650081215636,1517.5774118390339,30419122.862623926,3041912.286262392,3762935.0161959445,8408031.009947887,0.0,,16514625.470427066,0.0,45.91451993595237,20019242.46964428,0.0,0.4439242220201084,30419122.862623926,0.0,0.6160462833559277,30419122.862623926,0.0,0.6160462833559277,536800.4216578673,0.2005094145249372,27026.057070776824,644.7564693729161,0.8389378461528948,68.70573941149227,196.54512560334328,0.09254896267654952,0.0
min,2.9362679480132568e-05,6.392717961186744e-06,1.4016527897167415e-05,4.345930242085399e-05,4.345930242085399e-05,0.0,,0.021490289906528435,0.012319177100067188,0.02000416697306152,0.018391554072520976,0.05357918563514538,0.06646790263875636,0.12224918913762138,0.07141332156564498,-1.5115306651036775e-06,0.002327692463450432,-13.84259009675186,84698.896464369,8469.889646436899,18939.62874261262,239.422795364,1.0,0.0,34492.563088512004,3.0,0.0,52894.635652043,5.0,0.0,84698.896464369,10.0,0.0,84698.896464369,10.0,0.0,-387290.8318210305,0.0046427940869190965,0.0,19.0,1.0,1.0,0.0,14.0,10.0
25%,0.00025705412600468753,5.658793493420165e-05,8.294410687068083e-05,0.0003785934354867,0.0003785934354867,0.0,,0.13768944329586574,0.06991784244779285,0.25423392651649623,0.1139547414459922,0.4001360386946524,0.13088797846841907,0.34733319481905717,0.1426529302611824,8.507873473274706e-06,0.2826211195200108,1.028749628345282,1309145.116862034,130914.51168620339,272296.81805917795,28202.068944026,1.0,0.0,84351.919364674,3.0,0.0,84409.830855342,5.0,0.16477930118636389,1309145.116862034,10.0,0.505172631032924,1309145.116862034,10.0,0.505172631032924,-32205.043140474645,0.04094046660556987,0.0,134.0,1.0,2.0,0.0,16.0,10.0
50%,0.0004018671379302438,0.00018178459613453442,0.0001602366914139,0.0015471582303264,0.0015471582303264,0.0,,0.22882135736511858,0.10248871062306594,0.46591470400604085,0.15651972935878422,0.9120714299767474,0.23138545343623823,1.0340703030641871,0.24854649946899884,3.488004203765293e-05,0.40440735270899725,2.4634840024169766,11585288.137163129,1158528.8137163129,1456331.8390361476,321881.446085,1.0,0.0,1067362.177632755,3.0,0.5022643646020336,2634942.655128764,5.0,0.4962727979251614,11585288.137163129,10.0,0.9289459435324116,11585288.137163129,10.0,0.9289459435324116,3913.388560324976,0.11977081470833578,17387.0268690327,847.0,1.0,11.0,7.0,16.0,10.0
75%,0.01653580762398025,0.016101260972270152,0.0007847333795968,0.217513717506731,0.217513717506731,0.0,,0.6888301560067793,0.3178571579939595,2.4778013373541246,0.4376052136960531,4.740296941663984,0.7959088992335069,3.61699954266315,0.8644988770145103,0.0019315606105261493,0.7698621016614856,8.188593365945918,17540876.838905066,1754087.6838905066,3221845.6784224953,2961000.554767894,1.0,,9922323.96118842,3.0,0.5347979147907442,10379996.504452042,5.0,0.5478498548713364,17540876.838905066,10.0,1.3323818283816147,17540876.838905066,10.0,1.3323818283816147,358354.52759576426,0.39135821821420086,33333.5352666343,1109.0,1.0,30.0,42.0,16.0,10.0
max,0.3481610771397692,0.06855731942060837,0.2971311422611224,0.4414673915053789,0.4414673915053789,0.0,,1634.9239827919012,1.728471407644906,672.192055799719,2.22305662680938,216.5455801081585,3.08967182097504,217.93833328431228,3.6600468995446693,0.010771455764878276,0.9485790240540665,4590.665311770309,157325745.88995394,15732574.588995393,16987609.262315717,31513033.708322745,1.0,inf,46002916.07986157,3.0,302.8975322708382,109722859.91308506,5.0,1.585608454830217,157325745.88995394,10.0,1.9652400573942814,157325745.88995394,10.0,1.9652400573942814,1455429.2162257677,0.5550301077115759,135122.40712401096,2867.0,5.0,426.0,1478.0,16.0,10.0
