,correlation_with_spike,abs_correlation
momentum_7m_strength,0.23928525282288407,0.23928525282288407
momentum_7m,0.23680901116232314,0.23680901116232314
momentum_5m,0.13787051720839127,0.13787051720839127
trend_acceleration,0.08895009768206173,0.08895009768206173
volume_trend,0.07587581461242467,0.07587581461242467
momentum_7m_acceleration,0.0713883328312194,0.0713883328312194
acceleration_pattern,0.06183207609360186,0.06183207609360186
momentum_volume_interaction,0.05620286610110183,0.05620286610110183
volatility_ratio_15m,0.0317953908179314,0.0317953908179314
price_change_15m,0.028341811712032868,0.028341811712032868
momentum_14m,0.02793104292971844,0.02793104292971844
price_change_10m,0.027505903038751195,0.027505903038751195
price_acceleration_5m,0.01093317164375847,0.01093317164375847
price_volatility,0.0106389325853817,0.0106389325853817
trend_consistency,0.000873840255122243,0.000873840255122243
bullish_pattern,2.3767379554796743e-18,2.3767379554796743e-18
volume_acceleration,,
volume_spike,,
trend_strength_15m,,
