,future_price_increase,price_mean,price_std,price_min,price_max,price_last,price_change_3m,volatility_3m,momentum_3m,momentum_std_3m,acceleration_3m,trend_strength_3m,trend_consistency_3m,momentum_strength_3m,volatility_acceleration_3m,volatility_adjusted_momentum_3m,price_change_5m,volatility_5m,momentum_5m,momentum_std_5m,acceleration_5m,trend_strength_5m,trend_consistency_5m,momentum_strength_5m,volatility_acceleration_5m,volatility_adjusted_momentum_5m,price_change_10m,volatility_10m,momentum_10m,momentum_std_10m,acceleration_10m,trend_strength_10m,trend_consistency_10m,momentum_strength_10m,volatility_acceleration_10m,volatility_adjusted_momentum_10m,price_change_15m,volatility_15m,momentum_15m,momentum_std_15m,acceleration_15m,trend_strength_15m,trend_consistency_15m,momentum_strength_15m,volatility_acceleration_15m,volatility_adjusted_momentum_15m,volume_total,volume_mean,volume_std,volume_skew,volume_kurtosis,avg_trade_interval,trade_interval_std,trade_interval_skew,whale_trade_count,whale_volume_ratio,volume_1m,trades_count_1m,avg_trade_size_1m,max_trade_size_1m,buy_sell_ratio_1m,buy_sell_imbalance_1m,large_trade_ratio_1m,volume_momentum_1m,volume_momentum_std_1m,volume_acceleration_1m,volume_3m,trades_count_3m,avg_trade_size_3m,max_trade_size_3m,buy_sell_ratio_3m,buy_sell_imbalance_3m,large_trade_ratio_3m,volume_momentum_3m,volume_momentum_std_3m,volume_acceleration_3m,volume_5m,trades_count_5m,avg_trade_size_5m,max_trade_size_5m,buy_sell_ratio_5m,buy_sell_imbalance_5m,large_trade_ratio_5m,volume_momentum_5m,volume_momentum_std_5m,volume_acceleration_5m,volume_10m,trades_count_10m,avg_trade_size_10m,max_trade_size_10m,buy_sell_ratio_10m,buy_sell_imbalance_10m,large_trade_ratio_10m,volume_momentum_10m,volume_momentum_std_10m,volume_acceleration_10m,volume_15m,trades_count_15m,avg_trade_size_15m,max_trade_size_15m,buy_sell_ratio_15m,buy_sell_imbalance_15m,large_trade_ratio_15m,volume_momentum_15m,volume_momentum_std_15m,volume_acceleration_15m,volume_trend_slope,volume_trend_r2,volume_trend_strength,rsi_7,rsi_7_slope,rsi_trend_strength_7,rsi_14,rsi_14_slope,rsi_trend_strength_14,liquidity,market_count,holder_count,unique_wallets_24h,active_ratio,trades_24h,trades_per_holder
future_price_increase,1.0,-0.0117379306121214,-0.009467850575836646,-0.011782884600003724,-0.01168495088773149,-0.011801007422672776,-0.024374809464897083,-0.06244728005185071,-0.02511839759524728,-0.06244728005185071,,-0.002219531212997694,-0.10242334311453137,-0.00215049373682616,-0.09038916332498353,-0.002464256175884174,0.1644600955560019,0.08691910220827406,0.16328580670461856,0.08691910220827406,-0.2014829050884126,0.003181409387464554,0.027187845885231425,0.0015825039774341801,0.03975303626500984,0.03800559931963015,0.04499758935105717,0.05081246427638595,0.05578309750393946,0.05081246427638595,0.11993167689841407,-0.015008509877582456,-0.010995213314961979,-0.014162882894436643,-0.020684889222610327,0.020304099792898066,0.14575634239264285,0.06961453831886709,0.15380552974714848,0.06961453831886709,-0.001462812474011093,-0.0019071894173198442,-0.005888882151251648,-0.0035201640170046313,0.006992100171888636,0.026498883787044986,-0.009294264958753028,-0.009294264958753089,-0.008921880806046703,-0.12468716062765858,-0.13660896936965386,-0.04034952738964518,-0.04262455403216163,-0.06380477730409743,-0.012250947803582721,-0.11134832867818954,-0.0033468103047309254,-0.052488840978483914,-0.004356162774922175,-0.00430559497469866,-0.00446068098665116,0.1572410171707928,-0.03707796378401385,0.005447082833870967,0.002351890381560037,0.003973849753563122,-0.0016301976407812513,-0.06722397701500851,-0.003962560614501702,-0.003111529659845391,-0.004082879363974375,0.18489046145428317,-0.04516480705014865,-0.005453231825503502,-0.007154350491388013,0.005190187086060593,-0.0012879572728263066,-0.07585466466873922,-0.003951234037192755,-0.003128850974673945,-0.003985714202705739,0.19518685659676194,-0.04846022186305507,-0.005395761755025537,-0.006309144845417523,0.005579912985511757,-0.00134738518157364,-0.07645325521750863,-0.0037746038317324035,-0.003161197968792401,-0.0037765703830882572,0.234712709318279,-0.053740183722317036,-0.0013592970526002902,0.031069861988017405,-0.03593846229499424,-0.0013853184520789647,-0.06693870969903397,-0.003785373362569092,-0.0031764325495919213,-0.0037485602013347563,0.23854719878744218,-0.06019369176259883,-0.003876085253181918,0.0001674338655377914,-0.0015508862582476015,-0.006745834523166407,0.3541270881539677,0.2433458410245069,0.11539552291877356,-0.009539726564429337,0.03329289095102797,0.12294289322367341,0.04747201382138811,-0.030774266855421166,-0.013012553838036097,0.049270598082717276,0.030816728934188943,-0.016495734540548156,-0.016644743448552803,-0.027232727462523674,-0.01551779299082385
price_mean,-0.0117379306121214,1.0,0.8889580434759448,0.999740942986887,0.9997298220182286,0.9997411308279173,-0.03134103916163971,-0.1063908901060858,-0.032141644746704064,-0.1063908901060858,,0.0979744195676182,-0.1499388744695392,0.0980562414938446,0.05790224781904971,-0.10464560493230962,-0.038502855233836966,-0.14662319138499855,-0.039271779194751166,-0.14662319138499855,-0.009890211105137244,0.6457572270754474,-0.18153318131387597,0.6485757874917972,-0.03614850635350955,-0.6469446356119173,-0.03976637019437499,-0.1733144041015939,-0.043899278176933634,-0.1733144041015939,-0.007793008967249325,0.6656021182082258,-0.2114080599659,0.6706541805051879,-0.09114088842956178,-0.671228430156725,-0.046908109567886214,-0.18481052254295494,-0.05533692654810276,-0.18481052254295494,-0.0069714839917061075,0.6464346255665946,-0.23999435426083893,0.653870071594863,-0.2970070739721118,-0.6566217456743516,-0.013801039891662217,-0.013801039891662203,-0.012795788872086386,-0.37276880923754924,-0.18973650000478984,-0.06484273020716813,-0.06513748814341046,0.03111365259555831,0.7819424349261959,-0.1406655107828872,-0.007076286916515403,0.27366981853932887,-0.00646639789432205,-0.006839784929281874,0.8926159986012757,0.2424243704189147,0.03905767281665534,0.0055410908569896306,-0.012275518320654136,-0.021453873224715075,-0.007731872803797676,0.199108903276638,-0.006685538224853317,-0.007331834238033827,0.8927323820569466,0.2834936484347894,0.04821397896288548,-0.015159428252193364,-0.02179425979664057,-0.015196917797166865,-0.007810640789473291,0.17504350896667187,-0.006692091851310284,-0.007361300390860873,0.8927620590049595,0.2988147018493637,0.047855034148632895,-0.01407045503957649,-0.019007918952471604,-0.013268043182722018,-0.007893976194662287,0.1415744569722684,-0.006158132550977199,-0.007406593594947562,0.8928300379110075,0.35793607971975616,0.05029338582498156,-0.012717508423429792,-0.011119688890154886,0.005202310827653295,-0.007941032153905004,0.12679301088834383,-0.006033113316733825,-0.007427593516620682,0.8928354342509711,0.36348103500984813,0.06913842736601095,-0.014543095447903182,-0.010737674612837055,-0.0008205777777030704,-0.009088099126104646,-0.06288128747557402,-0.06329119195178269,-0.19030534017593168,-0.006205672198596493,-0.14458857008763423,-0.23235041600049083,-0.0002611724164833688,-0.11629041794556196,-0.029817061131519464,-0.05060526243908388,-0.07146423381420756,-0.0793782227643113,-0.03413184550974696,0.7586094587746829,0.9029132966697501
price_std,-0.009467850575836646,0.8889580434759448,1.0,0.8783041879763871,0.8993594292168428,0.8783153772214368,-0.02552782827873112,-0.07156742564495183,-0.02658602144754354,-0.07156742564495183,,0.018162154467264397,-0.10309331492752226,0.018217525031874637,0.04045807302480438,-0.022801475686020728,-0.03376169105330906,-0.09887382023791795,-0.03496556344585368,-0.09887382023791795,-0.005701715913099471,0.3172325427332957,-0.12507585491191758,0.3201626321765935,-0.029866433372841044,-0.32600311478333943,-0.03728735367434534,-0.11733113038996792,-0.042002559560952876,-0.11733113038996792,-0.004996491155948255,0.32597888995905966,-0.14538789567499458,0.33251229000018556,-0.07535764267373783,-0.33664731755344157,-0.04418592251569685,-0.12481740970155042,-0.052995852872130086,-0.12481740970155042,-0.004923543797758161,0.295699174549448,-0.16514887065428557,0.3052527493382256,-0.20445929055298728,-0.3095668817157835,-0.00987435173561413,-0.009874351735614092,-0.009163752442084675,-0.2868831065216629,-0.12596168046013878,-0.04638912571062381,-0.04660995960944167,-0.03226805763990866,0.5879058150305015,-0.09922229696847795,-0.005017876685927521,0.19229683268834893,-0.004630597560632851,-0.004881722596792404,0.8288178017860329,0.17872241001318867,0.029546513691657655,0.009975604496021783,-0.004827654766477698,-0.012080343679527225,-0.005481196930257708,0.14044575169448592,-0.004787729484873384,-0.005234768868792623,0.8289535605531639,0.20841247381285852,0.036323437226459705,-0.01000681683382686,-0.01505869389440881,-0.007804920474639459,-0.005537446280188089,0.12382442698723378,-0.004792411455995989,-0.005255715736225253,0.8289874230708054,0.21940184809789817,0.03609854859588071,-0.009243094327468948,-0.013116157733864353,-0.006435918297178098,-0.005596288860788904,0.1005037969156788,-0.004409408169086313,-0.005287701088026365,0.8290675167473475,0.2623163608036493,0.038077715117347276,-0.008965543062598308,-0.0077842298905436876,0.0037333912120930952,-0.005629950704521203,0.09009568069061785,-0.004319692880228189,-0.005302705593692651,0.8290741002056352,0.2663157983734269,0.05205809124929809,-0.01023053368558316,-0.007496165666274926,0.002123490283157311,-0.006511883497298331,-0.04460466674684483,-0.04750224306771816,-0.14901540541564806,-0.0050152349088073865,-0.1142677931382863,-0.1819030489953676,-6.822713559113582e-05,-0.08314943185095314,-0.020222922390812803,-0.03509474156800551,-0.04795442677750048,-0.05316056120474359,-0.019427417880896244,0.589105358740962,0.7010977000256652
price_min,-0.011782884600003724,0.999740942986887,0.8783041879763871,1.0,0.9989420388725754,0.9999996875674146,-0.03138182648946574,-0.10751378943245825,-0.03216975951500854,-0.10751378943245825,,0.10135451215492923,-0.15139051367790937,0.10143688257333235,0.05841525775254483,-0.10808461502574677,-0.038453537255572635,-0.14813030580317016,-0.03920164158016134,-0.14813030580317016,-0.01000323155759161,0.6582897334246386,-0.18327879611069992,0.6610857521308521,-0.03626483844159753,-0.6590889888911341,-0.03960435780178642,-0.17508727479826947,-0.043691421829837616,-0.17508727479826947,-0.007849794411022161,0.6785716720033207,-0.21346259414112587,0.6835201840375601,-0.09143537737376582,-0.683910249395908,-0.04673629743963654,-0.1867211641453658,-0.05510412912435295,-0.1867211641453658,-0.006989946128852065,0.660064761097301,-0.2423313777710878,0.6673516273597131,-0.2999829093074755,-0.6700083755251425,-0.013915678015846466,-0.013915678015846436,-0.012901706003705186,-0.37490322166256246,-0.19182095317718406,-0.06538223117911242,-0.06567885707629477,0.03409181588033566,0.7871006741825801,-0.1419269219823571,-0.007137399779790988,0.27612907992372643,-0.006519994610885434,-0.006897321659036958,0.8906331218484544,0.24418589742715383,0.039309341989117896,0.0052842413257317145,-0.012578832199663091,-0.021798259792882854,-0.007798745215872413,0.20086995658747736,-0.00674093153849729,-0.007393430769810937,0.8907515822641097,0.28558237803046127,0.04853034560586409,-0.015326163308190362,-0.022001244903548167,-0.015478579587833823,-0.007878198229399223,0.17657355378542072,-0.006747540534669418,-0.007423148081388051,0.8907817649532321,0.30102884303146155,0.048167213851595544,-0.014227370747987354,-0.01918906030798854,-0.013533162086325523,-0.00796227313426332,0.1427926402950512,-0.0062091882710548175,-0.007468843334446416,0.8908509546684201,0.3606149330254125,0.050613514728843935,-0.012829689675677282,-0.011220198503319243,0.005245019360808816,-0.00800972009833415,0.12787927563988993,-0.006083141385384746,-0.007490018587757323,0.8908564427455901,0.36620481537108507,0.06959225259102546,-0.014672425063486701,-0.010835687278403174,-0.0009646847936534365,-0.009163154471673114,-0.06342681878137879,-0.06371036143847092,-0.19146087442837822,-0.00623605044692451,-0.1454223984418493,-0.23377427776875342,-0.0002653559731178784,-0.11726088577272607,-0.03012891600181683,-0.05109765393123032,-0.07223435632073007,-0.08023954575918077,-0.03467296960232034,0.762618054781848,0.90769523461139
price_max,-0.01168495088773149,0.9997298220182286,0.8993594292168428,0.9989420388725754,1.0,0.9989428704429396,-0.031122277416290194,-0.1051992265375269,-0.031948322310274356,-0.1051992265375269,,0.09442296777863299,-0.14835796086526468,0.09450346039137392,0.05729312130503086,-0.10102212040574203,-0.0383852095745006,-0.14495598974523694,-0.03918954901743684,-0.14495598974523694,-0.009676923181111812,0.6324197285754355,-0.17963461438429545,0.6352580600585177,-0.03604340756742916,-0.633996206836908,-0.03977910806423527,-0.17138571522991988,-0.0439743120243095,-0.17138571522991988,-0.007645699981892301,0.6518084311667087,-0.2091858928691687,0.6569618050186298,-0.09088679312981518,-0.6577180212970759,-0.04697218141561175,-0.18275162910341156,-0.055474217287688164,-0.18275162910341156,-0.006848011360783417,0.6319761420094042,-0.23748828831430263,0.6395587986403252,-0.2940697781660225,-0.6424045972427003,-0.013677086049347208,-0.013677086049347186,-0.012681363916821295,-0.37044363874147007,-0.18754363157431356,-0.06426096599520488,-0.06455342915536201,0.028070615399053443,0.7763669282920473,-0.13934258605938896,-0.00701096175941627,0.2710376763368489,-0.0064086481502725725,-0.006778002365562881,0.8940510135383644,0.24049003208138486,0.03879060605291933,0.005790324517823144,-0.011970181776866004,-0.02109547225115504,-0.007660409153492369,0.19722445529636104,-0.006625836964261087,-0.007265666892386474,0.8941659427830995,0.2811999819138496,0.04787564385391674,-0.014977833639376702,-0.021568457088539605,-0.014905922925262816,-0.007738459563356453,0.17340685862960956,-0.00663233122158862,-0.007294860795813114,0.8941952777430388,0.29638377209357286,0.04752190173123606,-0.013899358581921274,-0.018809619680313916,-0.01299559127800829,-0.00782101425172355,0.14026745845040495,-0.006103115246356541,-0.007339730080542895,0.8942624308396492,0.35500219591025245,0.049948777146130205,-0.012596004409585868,-0.011009824133666071,0.0051560923998747775,-0.0078676473716477,0.1256265034386933,-0.005979205356509567,-0.0073605406427781385,0.8942677664798164,0.3604987367947498,0.06865020213856975,-0.014402976512838369,-0.01063025784509934,-0.0006758432022245249,-0.009006987738773826,-0.062283604589038734,-0.06281771099738893,-0.18898728110297852,-0.006167974668321713,-0.1436519768777775,-0.23075112255263702,-0.00024093497795994482,-0.11521145470353143,-0.029495118711695915,-0.05009673579143567,-0.07065988853066724,-0.0784663913505078,-0.03357161154782641,0.7540322776888438,0.8974585445194749
price_last,-0.011801007422672776,0.9997411308279173,0.8783153772214368,0.9999996875674146,0.9989428704429396,1.0,-0.031079437681795493,-0.10744101174770977,-0.03188743461943484,-0.10744101174770977,,0.101361143944095,-0.15119264201656174,0.10144214459192769,0.058418972031003435,-0.10807156152574736,-0.03817842626613047,-0.1479242761238495,-0.038950039454747856,-0.1479242761238495,-0.009823113043477737,0.6582920660831373,-0.18308920211092927,0.6610847344071232,-0.03622309282592247,-0.6590480835536,-0.03930553844482039,-0.17490029288137396,-0.043413192382149766,-0.17490029288137396,-0.007747390127882303,0.6785745038999138,-0.21323434261882104,0.683518699162577,-0.09145593978981835,-0.6838647387572522,-0.0464542809520367,-0.18650561615703565,-0.05482415661729145,-0.18650561615703565,-0.006834683252503035,0.6600652491774421,-0.24211625494985295,0.6673492565934019,-0.2999570251353493,-0.6699757694600378,-0.013938582079384613,-0.013938582079384625,-0.012923142672008997,-0.374926711569776,-0.19183574739917827,-0.06548480042849213,-0.06578030730997607,0.03409837399247093,0.7870882654604016,-0.14195073477598968,-0.00714505352571123,0.2762788970190799,-0.006530484422810152,-0.006906986349785335,0.8906339578177974,0.24416998822556962,0.039294895568986035,0.005268786554717779,-0.01259778772721803,-0.021805176361152947,-0.007806824729552455,0.20102770558829502,-0.006751733748851044,-0.007403824382361005,0.8907522679239919,0.28555715772552714,0.04850757621456598,-0.015343056780757579,-0.02202178758686549,-0.015485143544797696,-0.00788639282403626,0.17675085893034026,-0.006758355289797913,-0.007433582130706827,0.8907824429339294,0.3010033643701434,0.048133658244970054,-0.014242686684151688,-0.019206417651772105,-0.013540173280366392,-0.007970562893673786,0.14296632906767384,-0.006219113681110133,-0.007479332716154157,0.8908515854735636,0.360608102154094,0.05057838033749004,-0.012849172668786239,-0.011233359377870034,0.005252758200480768,-0.008018083533414412,0.12804328265200632,-0.006092860232588931,-0.0075005380619720605,0.8908570701996658,0.3661995153458592,0.06956605242216968,-0.014694657040285912,-0.010847818476439225,-0.0009530201437078777,-0.009178721668167725,-0.063403434832347,-0.06367868898511048,-0.19127283255877775,-0.006212777691998532,-0.14547838498485582,-0.23359224617871685,-0.00020677312723554246,-0.11722262915499349,-0.030099650331573066,-0.05103052932264964,-0.0720966038024589,-0.0800825403685646,-0.03467989022205433,0.7626649848031262,0.9076861252227849
price_change_3m,-0.024374809464897083,-0.03134103916163971,-0.02552782827873112,-0.03138182648946574,-0.031122277416290194,-0.031079437681795493,1.0,0.15644176194770243,0.9969203389326886,0.15644176194770243,,0.014401948428967677,0.5823287994168489,0.010984500192386518,0.05659305504701491,0.05618651587359419,0.7822937924484886,0.34476624430910147,0.7615791382983709,0.34476624430910147,0.762728510105333,0.0016060754932911252,0.4086034684562131,-0.006927616937271793,0.1349845767835454,0.1718930590516458,0.6333597631868758,0.297865411380876,0.5907198774782126,0.297865411380876,0.5046915550573545,-0.005020815238604743,0.26276692904263077,-0.014259342979662916,0.09590961245534414,0.09416352016789034,0.5546942691103437,0.23353663394979476,0.506952901589557,0.23353663394979476,0.41811919686056714,-0.0062713295501515545,0.22201964813519343,-0.014294305456916257,0.048835011489415894,0.06324864354807125,-0.006033588950002654,-0.006033588950002668,-0.00562780482057521,0.030537581004123335,0.014463462968702021,-0.035178953121838594,-0.03347452731260439,0.021706345749246257,-0.030223696586238042,0.010666638345570606,-0.0040808921781802215,0.0020127514134282392,-0.0034288723547277284,-0.0037711944777535913,-0.029672679416338527,-0.04095314041838364,0.02988424063160032,-0.021306797726938557,-0.028458862810796397,0.012494639820646676,-0.004699690040779689,0.016287616712602117,-0.0037622130657562194,-0.004401625072139236,-0.029464345725730607,-0.044316922624383345,0.023259812487743718,0.27472977527440445,0.29773998308943767,0.0071452724349803836,-0.00486125361792995,0.023652548785569653,-0.0037901921316009714,-0.004463020417586446,-0.029180202782059756,-0.04183685687447518,0.016489439962603773,0.2743655818200504,0.2925664056937434,0.004616688828970552,-0.005013897345368579,0.026943098737962037,-0.003771678694041472,-0.0045675820746572,-0.02899300091279562,-0.05882031272039652,-0.013812676195400773,0.03976854016503355,0.10270053182849298,0.006745847347775665,-0.0050121771234428476,0.061201394737849246,-0.0036204824872662408,-0.004548205763460734,-0.02894567470432354,-0.05891061452146605,-0.0034089564395581398,0.05428022939094635,0.11522363794792613,0.03073016704532948,-0.005363914795500583,0.02801237135206082,0.005714932132201819,0.3725159180573664,0.34530565209043773,0.04391716098191567,0.28626429973426454,0.3274991865306817,0.16399506740728786,-0.01470221962653907,-0.024450030492245926,-0.009896411765041071,0.06970895542974469,0.0611399258135721,-0.01181524291063967,-0.0304490149788815
volatility_3m,-0.06244728005185071,-0.1063908901060858,-0.07156742564495183,-0.10751378943245825,-0.1051992265375269,-0.10744101174770977,0.15644176194770243,1.0,0.18276956428208904,1.0,,-0.03689218136508579,0.27333296710008115,-0.036840504509725494,0.734175000930402,0.015714522191018085,0.21037631680962882,0.6997639954921732,0.22500995453914474,0.6997639954921732,0.05454568573871779,-0.09800019395453415,0.3772009485215056,-0.09816680385061924,0.44817113806076797,0.11817465712502603,0.16963839075102607,0.505245398613739,0.1878212077889119,0.505245398613739,0.08505778375511279,-0.08553944109329155,0.40077568276443165,-0.08498742178763943,0.18425834372740857,0.12238406391337318,0.10125858143853808,0.4361280427024371,0.1209969032047335,0.4361280427024371,0.11630398917073767,-0.08793410971239583,0.39329866718740963,-0.08933507580899941,0.10501565706877844,0.10801552064816472,-0.021868304017516237,-0.02186830401751618,-0.019999598318576034,0.05656632572735961,0.04235304339985779,-0.174142328079013,-0.18090831229645613,0.03842307020313736,-0.11718426963161822,0.047484068990076636,-0.017920083607483376,0.07630075286749735,-0.01679525740147332,-0.017348462212538458,-0.09542017809403147,-0.03793373329068776,0.10876870239757114,0.015459074433678055,0.02317406546684421,-0.009937173904277927,-0.019967359312999595,0.16334087709579523,-0.01778034868720709,-0.01934906109197179,-0.0922659720910096,-0.014532095527622042,0.07993348476602459,0.35214565475356663,0.3721781476464712,-0.009043920206162176,-0.020138391651125662,0.18574576351007607,-0.01778180097148501,-0.019338171433973192,-0.09275533368005603,-0.037584367291064034,0.06533199265233562,0.34753641927722834,0.359455726636978,-0.008915987803745478,-0.020144789347973258,0.18032447795858367,-0.017300011441427055,-0.01934349758809187,-0.09191107059579078,-0.07380958972566937,0.037818568595969174,0.030914588098637126,0.11239973983821755,0.023057755817500913,-0.02023210060327869,0.1762312922411287,-0.01655451542858097,-0.019390365126041902,-0.0917337866624042,-0.07323628186476046,0.03426406859766162,0.048948808136806465,0.13190851914789195,-0.004018133932937678,-0.0178301851362542,0.10810722398222385,0.11759460674217596,0.22203565334252046,-0.020374205400791115,0.04446966518109235,0.20461253372970276,0.06512410625877008,0.27094694425061755,0.058921654997477584,0.10763936437283901,0.11769360512130814,0.1429789393943538,0.036306472529168264,-0.041837199986493455,-0.12147160873965575
momentum_3m,-0.02511839759524728,-0.032141644746704064,-0.02658602144754354,-0.03216975951500854,-0.031948322310274356,-0.03188743461943484,0.9969203389326886,0.18276956428208904,1.0,0.18276956428208904,,0.012057278065536876,0.6022698365446854,0.00882053353876248,0.0786539150872327,0.05684898785069583,0.7802014715879206,0.3395899339025419,0.7641964427890121,0.3395899339025419,0.7648203618308459,-0.0007388576059886658,0.4217003828763796,-0.00921568293606954,0.142488185501969,0.17799458787809563,0.6185190856765579,0.28539458348798036,0.5845847111611037,0.28539458348798036,0.49943849361521364,-0.006525942362992668,0.26847651759072416,-0.015437805600687056,0.09832496283748868,0.09650426339312261,0.5357566348986481,0.22011337758411806,0.49702512261790066,0.22011337758411806,0.4161233032541479,-0.007548581288966008,0.22525282779613018,-0.015281428090134707,0.04866288774599003,0.06422550155402396,-0.005510038329917351,-0.005510038329917358,-0.00510963670217512,0.03398940839561903,0.015606637394691796,-0.03303919149700688,-0.03151870925975265,0.01967650328851765,-0.030693051777898307,0.014294786918214734,-0.0038335486466871474,-0.006346258517338678,-0.0031983621778876397,-0.0035256974984698352,-0.03039926608494364,-0.039301076067919154,0.036942841593286424,-0.020942261319137647,-0.028057895059519833,0.01444532951675626,-0.004476576803502546,0.007838793594186867,-0.003541400597032766,-0.004178481388848108,-0.030230924660034506,-0.043213344119184656,0.029656811102926364,0.279753186051862,0.3047935220655557,0.008346448438862113,-0.0046419545960712585,0.01685111344966898,-0.003570543344990694,-0.004240016278018639,-0.029960350701544743,-0.04119548100149058,0.02249985435477093,0.27921055479358275,0.29872283892293106,0.005493562681181758,-0.00480211363833789,0.021782986100545344,-0.003574201571137956,-0.004350335049559359,-0.029763017952221943,-0.05981785125454092,-0.009408647643472025,0.040621418656347344,0.10442872532539804,0.006880515013569643,-0.004799407367459693,0.05659576282005163,-0.0034204691556472626,-0.004329730206019903,-0.029716527144930546,-0.0600556058541195,0.0010922439524880076,0.05537137839902378,0.11682705503758922,0.03231474139587167,-0.004987219917577616,0.03420962028313344,0.01196620827716413,0.3820538277960711,0.3558366710693101,0.047420378346888614,0.2893323161535047,0.33661872172798574,0.1658944129963011,-0.015594117794480274,-0.02540826351902578,-0.013118359561003441,0.06166681189791656,0.0567318341267046,-0.014562128923769511,-0.031108965781916124
momentum_std_3m,-0.06244728005185071,-0.1063908901060858,-0.07156742564495183,-0.10751378943245825,-0.1051992265375269,-0.10744101174770977,0.15644176194770243,1.0,0.18276956428208904,1.0,,-0.03689218136508579,0.27333296710008115,-0.036840504509725494,0.734175000930402,0.015714522191018085,0.21037631680962882,0.6997639954921732,0.22500995453914474,0.6997639954921732,0.05454568573871779,-0.09800019395453415,0.3772009485215056,-0.09816680385061924,0.44817113806076797,0.11817465712502603,0.16963839075102607,0.505245398613739,0.1878212077889119,0.505245398613739,0.08505778375511279,-0.08553944109329155,0.40077568276443165,-0.08498742178763943,0.18425834372740857,0.12238406391337318,0.10125858143853808,0.4361280427024371,0.1209969032047335,0.4361280427024371,0.11630398917073767,-0.08793410971239583,0.39329866718740963,-0.08933507580899941,0.10501565706877844,0.10801552064816472,-0.021868304017516237,-0.02186830401751618,-0.019999598318576034,0.05656632572735961,0.04235304339985779,-0.174142328079013,-0.18090831229645613,0.03842307020313736,-0.11718426963161822,0.047484068990076636,-0.017920083607483376,0.07630075286749735,-0.01679525740147332,-0.017348462212538458,-0.09542017809403147,-0.03793373329068776,0.10876870239757114,0.015459074433678055,0.02317406546684421,-0.009937173904277927,-0.019967359312999595,0.16334087709579523,-0.01778034868720709,-0.01934906109197179,-0.0922659720910096,-0.014532095527622042,0.07993348476602459,0.35214565475356663,0.3721781476464712,-0.009043920206162176,-0.020138391651125662,0.18574576351007607,-0.01778180097148501,-0.019338171433973192,-0.09275533368005603,-0.037584367291064034,0.06533199265233562,0.34753641927722834,0.359455726636978,-0.008915987803745478,-0.020144789347973258,0.18032447795858367,-0.017300011441427055,-0.01934349758809187,-0.09191107059579078,-0.07380958972566937,0.037818568595969174,0.030914588098637126,0.11239973983821755,0.023057755817500913,-0.02023210060327869,0.1762312922411287,-0.01655451542858097,-0.019390365126041902,-0.0917337866624042,-0.07323628186476046,0.03426406859766162,0.048948808136806465,0.13190851914789195,-0.004018133932937678,-0.0178301851362542,0.10810722398222385,0.11759460674217596,0.22203565334252046,-0.020374205400791115,0.04446966518109235,0.20461253372970276,0.06512410625877008,0.27094694425061755,0.058921654997477584,0.10763936437283901,0.11769360512130814,0.1429789393943538,0.036306472529168264,-0.041837199986493455,-0.12147160873965575
