,correlation_with_spike,abs_correlation
momentum_7m,0.2368090111623232,0.2368090111623232
momentum_5m,0.1378705172083913,0.1378705172083913
trend_acceleration,0.08895009768206168,0.08895009768206168
price_change_15m,0.028341811712032892,0.028341811712032892
momentum_14m,0.02793104292971845,0.02793104292971845
price_change_10m,0.0275059030387512,0.0275059030387512
