feature,importance
f15,9.941419410705567
f14,6.955981063842773
f11,3.8108026504516603
f13,3.555563974380493
f6,3.0861859798431395
f3,2.808858108520508
f4,2.5571466445922852
f1,2.341931438446045
f2,2.272742438316345
f0,1.9962864637374877
f12,1.977278709411621
f7,1.8442229747772216
f8,1.760583186149597
f9,1.757166075706482
f5,1.7404323101043702
f10,1.5931264877319335
