feature,correlation,selected
acceleration_5m,0.21227045589702354,False
price_change_5m,0.18882089405836858,False
price_change_15m,0.18523357604257948,True
momentum_5m,0.18131485307756992,False
momentum_15m,0.17199745240711178,False
trade_interval_skew,0.13938965334468054,False
acceleration_10m,0.1328077827299349,False
rsi_14,0.12081298684909503,True
rsi_7,0.1165600262623771,False
max_trade_size_15m,0.11212762674676871,False
volume_15m,0.11124480152094494,False
volume_1m,0.10796381953448358,False
max_trade_size_1m,0.10581989740055131,False
avg_trade_size_1m,0.10274866917099287,False
trend_consistency_3m,0.10243884580113968,False
volume_kurtosis,0.10241678819787675,False
avg_trade_size_3m,0.10044991345073505,False
avg_trade_size_5m,0.09939214409523775,False
volume_3m,0.09914387608949203,False
max_trade_size_3m,0.09833442695294446,False
volume_5m,0.09507209132000183,False
volume_skew,0.09472417844832375,False
max_trade_size_5m,0.0946711108209415,False
volatility_regime_3m,0.0917298368003745,False
volume_trend_slope,0.09136680715948559,False
momentum_std_5m,0.09024662161248724,False
volatility_5m,0.09024662161248724,False
avg_trade_size_15m,0.08848697848598672,False
trades_count_15m,0.08608800047583899,False
avg_trade_size_10m,0.08466706207717974,False
market_count,0.08446487248300497,False
volatility_acceleration_3m,0.08370865718646216,False
whale_volume_ratio,0.07822457411260603,False
max_trade_size_10m,0.07704853542250113,False
volume_10m,0.07611235283460964,False
volatility_15m,0.07438365563213334,True
momentum_std_15m,0.07438365563213334,False
volume_momentum_std_15m,0.0720925451111542,False
volume_std,0.06760055989346322,False
momentum_std_3m,0.06714570453421578,False
volatility_3m,0.06714570453421578,False
buy_sell_imbalance_1m,0.06667406585428313,False
volume_momentum_15m,0.06638103423209074,False
volume_trend_strength,0.06410809873179252,True
volatility_adjusted_momentum_5m,0.0640061540545996,False
momentum_10m,0.0627644965928658,False
volume_mean,0.061403799806908736,False
volume_total,0.061403799193257204,True
large_trade_ratio_10m,0.058414854950788804,False
price_change_10m,0.057723755105058304,False
buy_sell_imbalance_3m,0.057648753832136725,False
buy_sell_ratio_1m,0.05737878954306504,False
buy_sell_imbalance_5m,0.05680534104901351,False
trades_count_10m,0.05546162589178753,False
holder_count,0.05497575430488404,False
volatility_10m,0.054905335699718526,False
momentum_std_10m,0.054905335699718526,False
volatility_adjusted_momentum_15m,0.0539714891675317,False
rsi_14_slope,0.05335469829805383,True
pattern_type_5m,0.052020446862446446,False
volume_trend_r2,0.05062141070217839,False
buy_sell_ratio_3m,0.050023236582306244,False
pattern_type_3m,0.049767317397821816,False
buy_sell_imbalance_10m,0.048747512897714805,False
buy_sell_ratio_5m,0.04808354966379334,False
large_trade_ratio_5m,0.045904882871490325,False
buy_sell_imbalance_15m,0.04549305478757756,True
volatility_acceleration_5m,0.04517459947316966,False
large_trade_ratio_3m,0.042459450080675,False
avg_trade_interval,0.04241611549214284,False
trade_interval_std,0.0420215874582998,False
rsi_trend_strength_7,0.041472042248974744,False
buy_sell_ratio_10m,0.03924787939921999,False
pattern_type_10m,0.039095629086636295,False
large_trade_ratio_1m,0.038199774676231334,False
pattern_type_15m,0.03706906703180717,False
volatility_adjusted_momentum_3m,0.03651720056011191,False
buy_sell_ratio_15m,0.03575378567052682,False
trades_count_5m,0.03495715293382508,False
volatility_adjusted_momentum_10m,0.032708037202315535,False
trades_count_3m,0.030609608108393752,False
volume_momentum_std_10m,0.0287389508161414,False
trades_24h,0.028259379009235707,False
trend_consistency_5m,0.027285058794926906,False
momentum_3m,0.0266972484132202,False
rsi_trend_strength_14,0.026685444911920073,False
price_change_3m,0.026366692216030607,False
volatility_regime_5m,0.02631295954731383,False
active_ratio,0.023936393905997767,False
volatility_acceleration_15m,0.023887446194971938,False
trend_strength_10m,0.022487336181434784,False
liquidity,0.021130621515678863,False
volatility_regime_10m,0.02084850282996872,False
trend_strength_5m,0.020493930219701736,False
momentum_strength_10m,0.02012901105851958,False
whale_trade_count,0.01977845443866483,False
unique_wallets_24h,0.017714467680328902,False
momentum_strength_5m,0.016860573765096608,False
trades_per_holder,0.015923523610899045,False
volume_momentum_3m,0.01549780788210247,False
price_std,0.014712879626123682,False
trend_strength_15m,0.013526028485359644,True
trades_count_1m,0.012398068221384973,False
price_max,0.012054606678595939,False
price_last,0.012031632870900717,False
price_mean,0.01203006156604446,False
price_min,0.012006602944677716,False
volume_momentum_10m,0.011624452740449116,False
volume_acceleration_15m,0.010841328245616715,False
trend_consistency_10m,0.010752547969335809,False
volume_momentum_std_5m,0.010737356928849726,False
volume_acceleration_10m,0.009982968123592093,False
volume_momentum_5m,0.009685073959259815,False
volume_acceleration_1m,0.009625915813789784,False
rsi_7_slope,0.009152236505551104,False
volume_momentum_std_1m,0.008834669331318502,False
volume_acceleration_5m,0.00818093808284289,False
momentum_strength_15m,0.008156292255315348,False
volume_momentum_1m,0.0076774326807739065,False
large_trade_ratio_15m,0.006479889179635322,True
volatility_regime_15m,0.006045288695132544,False
trend_consistency_15m,0.005576345044515757,True
volume_momentum_std_3m,0.005560733983842371,False
volatility_acceleration_10m,0.0034421365168689137,False
volume_acceleration_3m,0.001970884764633295,False
acceleration_15m,0.0012105665466907408,False
trend_strength_3m,0.0008524904605254896,False
momentum_strength_3m,0.00029549091905028296,False
data_points_count,,False
trades_count,,False
acceleration_3m,,False
