,volatility_3m,volume_momentum_5m,price_change_15m
count,467.0,467.0,467.0
mean,0.4208541282311106,268.31464513657244,45.120665409300386
std,0.585518850022422,506.1322574909828,80.03575427409527
min,0.012319177100067188,-0.20728647236036413,0.12224918913762138
5%,0.0375910619812619,0.09197279748450751,0.230292751450977
25%,0.06991784244779285,1.0483959393205968,0.34733319481905717
50%,0.10248871062306594,3.001441558676783,1.0340703030641871
75%,0.3178571579939595,75.08194403172244,3.61699954266315
95%,1.728471407644906,1484.5347458976782,217.93833328431228
max,1.728471407644906,1484.5347458976782,217.93833328431228
